feature,rev_lgb,rev_cat,cog_lgb,cog_cat,total
sin_y4,0.00966919399983695,0.005823189487699279,0.01024015731896955,0.009083301436472324,0.0348158422429781
sin_y5,0.005777958946790697,0.007215313316421385,0.008331270214440597,0.009526494772071242,0.03085103724972392
regime_pre2019,0.0,0.011859491108459175,0.0,0.017556068959594162,0.029415560068053338
quarter,0.0010927004920633305,0.005721365842286851,0.0011065378339855326,0.02092584142776627,0.028846445596101986
sin_w2,0.006310106652208703,0.006282412047146844,0.00602237525533114,0.00869409716224296,0.027308991116929644
sum_discount_active,0.0038101190903247215,0.016268415805827725,0.001935209309435129,0.004226695473733852,0.02624043967932143
cos_y5,0.007161679371936691,0.002725921411858017,0.010680390341577091,0.0030672841475971606,0.023635275272968957
promo_urban_blowout_since,0.011210870245017593,0.008442068061047631,0.0011313598835033226,6.187312364907551e-05,0.02084617131321762
n_active_promos,0.002603761895610315,0.014394330788496,0.0005082197192068129,0.0026785982130101502,0.020184910616323277
is_odd_year,0.0037527794454268906,0.006132365094124968,0.003178282838650519,0.006288566748924476,0.019351994127126855
cos_y4,0.005557969480146687,0.003926819652037255,0.005107096960857534,0.003318811821826307,0.017910697914867782
is_month_end_zone,0.0,0.006181757361644312,0.0002311178539383437,0.00934272979633286,0.015755605011915516
promo_year_end_until,0.0044364862394924865,0.005837010869613664,0.0015944800022347717,0.0036184406848019882,0.01548641779614291
promo_urban_blowout_until,0.0053814106861056815,0.004124682995570337,0.000248384727235095,0.0007173126952499326,0.010471791104161045
promo_year_end_since,0.002930677520359621,0.00034667150919395,0.005631414181269574,0.000666239258146443,0.009575002468969588
cos_w2,0.002435789556765244,0.001942828776296876,0.002580472202453692,0.002568857656209961,0.009527948191725774
dim,0.0015268562632080533,0.002905807046367973,0.002043504315686687,0.0023952580719687456,0.008871425697231459
is_payday,0.000425136452861765,0.003549265865369525,0.00023552665252959737,0.0023986797272841903,0.006608608698045078
is_last3,0.0007732128952375365,0.0009298795642385603,0.0012127894120808123,0.003195374585956039,0.006111256457512948
regime_post2019,0.0,0.004417714641698924,0.0,0.001589001315550409,0.006006715957249333
is_weekend,0.0006912678983368315,0.004550474109754307,0.000516949880786741,0.0,0.00575869188887788
is_last2,0.0009578405983421585,0.0013215588105697272,0.0010759917689718978,0.00122361268368968,0.0045790038615734635
promo_fall_launch_since,0.0008788532293049351,0.0002428142067926452,0.0025219835375152482,0.00046224615723009584,0.004105897130842924
promo_spring_sale,0.00029672493221691114,0.00022435821345283253,0.0005720437330341083,0.002944585073397662,0.004037711952101514
promo_fall_launch_until,0.000699903988194164,0.0010847796835611557,0.000858047634509508,0.0011977521561253486,0.0038404834623901765
is_first2,0.0001269526757501222,0.002974509142481043,9.962494487160036e-05,0.0002815843077520783,0.003482671070854844
promo_mid_year_since,0.0008689272271987181,0.0014615132628377726,0.0003285480942373015,0.0006975575152568053,0.0033565460995305975
promo_urban_blowout,0.0031431351121428953,0.0,0.00011711199762820282,0.0,0.003260247109771098
is_first3,0.0003106809737591286,0.0007047731266097022,0.00031394961751278716,0.0018665714797588275,0.0031959751976404454
tet_in_14,0.0012093958918706741,0.0,0.001404130435112749,0.0,0.002613526326983423
is_first1,0.0005048656139111006,0.00042422030588497366,0.0005426455234760016,0.0007493450261272245,0.0022210764693993005
